"SourceTextTitle","SourceTextCode","PageNumber","PageEventEnds","Location","LocationCode","CharactersPresent","NarrativeStatus","Date","Era","Body","characters_introduced","eventname","fade","importance","lab","mark","n","Remembered","s","style","x","y","First 8-10 words of event","Nid","OrderWithinPage","Chronological Order","Summary","Keywords","CharactersMentioned","Indeterminate Date Range","kw_actions","kw_aesthetics","kw_cultural_issues","kw_environment","kw_relationships","kw_themes_and_motifs"
"Absalom, Absalom!","AA","268","268","Compson Place","009","15460, 15470","Narrated","1909-09-06","Turn of the Century (1890-1913)","","","","","","","","","","","","","","Perhaps Quentin himself had not been listening when","16436","268.05","501.50","<p>The narrator speculates that Quentin may not have been listening when Mr. Compson ""related (recreated?)"" the story of Bon taking Henry to ""visit"" the octoroon (268).  [SOURCE: Narrator]</p>","Narrative_Recursion, Ambiguity, Not-Hearing","15458","0","","Figures of Speech > Negation | Narrative > Conjectural narration","","","","Story-telling > Retelling"
"""Beyond""","BE","797","798","Allison House","1137","16272, 16296, 16294","Narrated","1931-04-01 to 1931-07-31","The Depression (1930-1940)","<p>Do we need to add the Unnamed Gentlemen of the Jury as characters?--LW<br />
TMT:  I don't think so; they are more imagined than there.</p>","","","","","","","","","","","","","He hurried round to the back door (he remarked","16348","797.01","28.00","<p>Entering his house, the Judge takes off his ""pajamas"" and gets into his ""recently pressed"" clothes (797).  It seems as if he lies down in the ""close dark"" coffin that the mourners have gathered around (797), and prepares for sleep.  The story's last words - addressed by the Judge to ""the Jury"" (798) - seem to leave open the question of what has happened and what it proves.</p>","Death, Familiarity, Home, Verdict, Judgment","16297, 16282","0","Emotional > Calm","","Clothes > Changing clothes | Identity, Personal > Old vs new selves | Law > Trial","Domestic Space > Home | Olfactory > Flowers","","Death > Compared to sleep | Death > Funeral | Morals > Justice | Objects > Flowers"
"""Beyond""","BE","796","797","Allison House","1137","16272, 16294","Narrated","1931-04-01 to 1931-07-31","The Depression (1930-1940)","","","","","","","","","","","","","","Now it was late.  ""Probably they are setting their clocks back","16347","796.01","27.00","<p>Judge Allison arrives home to encounter his own funeral and expresses nothing but displeasure with the arrangements.</p>","Homecoming, Funeral, Criticism","16276, 16293, 16295","0","Emotional > Anger | Movement > Walking | Verbal > Cursing","","Progress > Pace of travel","Domestic Space > Gate","","Death > Funeral | Objects > Clock | Supernatural > Haunting"
"""Beyond""","BE","795","795","Beyond|Heaven","1136","16272, 16277","Narrated","1931-04-01 to 1931-07-31","The Depression (1930-1940)","","","","","","","","","","","","","","And again it was quite unpleasant. It should have been","16346","795.02","24.00","<p>Judge Allison leaves Beyond.</p>","Death, Loss, Belief, Love","","0","Movement > Walking | Physical > Crowding","","","","","Arrivals/Departures > Departure"
"""Beyond""","BE","795","795","Allison House","1137","16272","Told","1919-01-01 to 1919-12-31","The Depression (1930-1940)","","","","","","","","","","","","","","That pony died at eighteen, six years unridden, in my lot.","16345","795.01","8.00","<p>The Judge rejects the mother's claim about the ""pony,"" saying that it died ""twelve years ago,"" ""at eighteen"" years of age (795).  On the basis of those empirical facts, he decides not to wait for Howard to ride past.</p>","Material_Evidence, Denial, Rationality","","0","Verbal > Explaining","","","","","Animals > Pony"
"""Beyond""","BE","794","795","Beyond|Heaven","1136","16272, 16288, 16287","Narrated","1931-04-01 to 1931-07-31","The Depression (1930-1940)","","","","","","","","","","","","","","""Yes,"" the Judge said.  ""I had a son too.""","16344","794.02","23.00","<p>The mother recognizes the boy in the Judge's photograph as ""Howard,"" whom she and her son sees ""every day"" in Beyond (794), riding on ""a young pony"" (795).  She urges the Judge to wait with her, and he'll ""find"" his son ""that way"" (795).</p>","Recognition, Conviction, Seeking-and-Finding","16273","0","Bodily > Crying | Emotional > Coldness | Emotional > Sympathy | Verbal > Conversation | Verbal > Giving advice | Verbal > Questioning","","","","Familial > Father-son | Familial > Mother-son | Friendship > Childhood friends","Objects > Briefcase | Objects > Cigarette | Objects > Photograph"
"""Beyond""","BE","794","794","Beyond|Heaven","1136","16288, 16287, 16289","Told","1928-01-01 to 1931-03-31","The Depression (1930-1940)","","","","","","","","","","","","","","""You are looking at his scars and wondering how","16343","794.01","10.00","<p>The unnamed woman tells Judge Allison that her son was injured playing with other children (794).  (If we take this as a non-symbolic event, it must have happened recently, since her child is still very young; hence the date range we give it.  But if it were seen as an allusion to the Crucifixion, it would be dated 0033-01-01 to 0033-12-31.)</p>","Play, Accidents, Allusion:Crucifixion","","0","Emotional > Hurting | Mental > Unaware | Play > Children playing","Allusion, Biblical > Crucifixion","","","Friendship > Childhood friends",""
"""Beyond""","BE","792","794","Beyond|Heaven","1136","16272, 16288, 16287","Narrated","1931-04-01 to 1931-07-31","The Depression (1930-1940)","","","","","","","","","","","","","","With the unlighted cigarette in his fingers he thought","16342","792.01","22.00","<p>The Judge converses with the woman with the child, whose scars could be symbolic of the stigmata Christ bore on the cross.</p>","Symbolism:Christian, Stigmata, Crucifixion, Allusion:Roman_Soldiers, Allusion:Pilate, Toys, Dismemberment, Crying","16291, 16290","0","Bodily > Crying | Emotional > Comforting | Emotional > Patience | Verbal > Conversation | Verbal > Hushing","Allusion, Biblical > Christ | Allusion, Biblical > Crucifixion | Allusion, Biblical > Pilate","","","Familial > Mother-son | Friendship > Adult-child","Objects > Basket | Objects > Cigarette | Objects > Toys"
"""Beyond""","BE","791","792","Beyond|Heaven","1136","16272, 16297, 16288, 16287","Narrated","1931-04-01 to 1931-07-31","The Depression (1930-1940)","<p>CUT: This pair clearly represents Mary and the Christ child, so Ingersoll seems to nudge Allison towards belief and seeking his son in the afterlife, but Allison cannot allow himself to do so.</p>","","","","","","","","","","","","","Along the path before them people passed constantly.","16341","791.01","21.00","<p>In response to the Judge's demand for a definite answer, Ingersoll tells him to look into the face of the young woman who who passes by carrying a scarred child, and ""follow her"" (791).  Surprised and unconvinced, the Judge's immediate response is to deny that Ingersoll <em>is</em> Ingersoll.</p>","Symbol:Mary-and-Jesus
Quest-for-Belief
Denial
Language:Latin
Italics","16282","0","Emotional > Contempt | Emotional > Despair | Emotional > Grief | Physical > Waiting | Physical > Walking | Verbal > Giving advice | Verbal > Questioning","Allusion, Historical > Ingersoll, Robert G. | Language > Latin phrase | Symbolism > Christian | Typography/Orthography > Italics","","","","Futility > Illusion of success or victory | Meaning > Absurdity | Objects > Briefcase | Objects > Cigarette | Objects > Photograph | Philosophical > Existentialism"
"""Beyond""","BE","790","791","Beyond|Heaven","1136","16272, 16297","Narrated","1931-04-01 to 1931-07-31","The Depression (1930-1940)","","","","","","","","","","","","","","He held the picture.  With his other hand he took","16340","790.07","20.00","<p>Looking to Ingersoll for confirmation that God does (or does not) exist, Judge Allison tells him, ""you can give me your word.  I will believe"" (791).  In response, Ingersoll tells Allison to seek out his son.</p>","Quest
Religious Belief","16273","0","Emotional > Waiting | Verbal > Giving advice | Verbal > Promising | Verbal > Questioning","","Religion > Religious faith","","","Objects > Cigarette | Objects > Photograph | Philosophical > Salvation"
"""Beyond""","BE","790","790","Beyond|Heaven","1136","16272, 16297","Narrated","1931-04-01 to 1931-07-31","The Depression (1930-1940)","","","","","","","","","","","","","","He looked at the photograph, his eyes pouched","16339","790.06","19.00","<p>Judge Allison ponders the significance of his son's photograph to himself and his family.</p>","Fatherhood, Loss, Photograph, Family, Ancestry","16273","0","Mental > Remembering | Physical > Riding | Verbal > Explaining","","Identity, Personal > Ancestral","","Familial > Father-son","Absence/Loss > Of loved one | Objects > Books | Objects > Photograph"
"""Beyond""","BE","790","790","Allison House","1137","16273, 16272, 16281","Told","1903-04-03","Turn of the Century (1890-1913)","","","","","","","","","","","","","","I was thirty-seven when my son was born.""","16338","790.05","3.00","<p>Judge Allison tells Robert Ingersoll that his son was born when he was thirty-seven.</p>","Father-Son Relationships, Birth","","0","Mental > Remembering | Verbal > Explaining","","","","Familial > Father-son",""
"""Beyond""","BE","790","790","Allison House","1137","16272, 16281","Told","1894-01-01 to 1894-12-31","Turn of the Century (1890-1913)","","","","","","","","","","","","","","I was twenty-eight before I asserted myself and took","16337","790.04","2.00","<p>Judge Allison tells Robert Ingersoll that he married at age twenty-eight.</p>","Relationships:Marriage","","0","Legal > Marriage | Mental > Remembering | Verbal > Explaining","","Gender > Masculinity","","Familial > Husband-wife",""
"""Beyond""","BE","790","790","Allison House","1137","16272, 16281, 16284, 16285, 16286","Told","1870-01-01 to 1880-12-31","Reconstruction (1866-1889)","<p>TMT:  I speculated on the dates at which over-protectiveness might be particularly chafing and guilt-inducing.</p>","","","","","","","","","","","","","""My own mother was sickly, an invalid.  I could cajole her","16336","790.03","1.00","<p>The Judge describes his over-protected childhood to Ingersoll.</p>","Marriage, Single Parent  Love, Beareavement","","0","Mental > Remembering | Verbal > Explaining","","Gender > Masculinity | Health and Illness > Invalid","","Familial > Aunt-nephew | Familial > Mother-son | Hierarchical > Master-servant",""
"""Beyond""","BE","790","790","Allison House","1137","16273, 16272, 16420","Told","1908-01-01 to 1913-08-22","Turn of the Century (1890-1913)","<p>I selected the start date somewhat randomly because five seemed a reasonable age to start riding by Mississippi standards.  LW<br />
TMT:  I agree.  Faulkner had a pony at age 5.</p>","","","","","","","","","","","","","""He rode practically all the time.  Even to church","16333","790.02","5.00","<p>The Judge tells Ingersoll of how his son used to ride his pony everywhere, even to the ""church"" where the Judge himself once ""regularly"" went (790). He seems to have indulged the boy because after his wife died, his son was his only strong tie to other people.</p>","Animal:Pony
Love
Father-Son Relationship
Religion:Attending_Church","","0","Physical > Riding","","Religion > Church service","","Familial > Father-son | Interspecies > Man-horse",""
"""Beyond""","BE","789","790","Judge Allison's Office","1135","16272, 16282","Narrated","1916-01-01 to 1931-03-31","The Depression (1930-1940)","","","","","","","","","","","","","","It happens that my life is a solitary one,","16332","789.04","7.00","<p>Using the present tense, Judge Allison describes the solitary life he leads, and attributes it largely to the contradictory nature of his political position as ""a Republican office-holder in a Democratic stronghold"" (789).</p>","Isolation
Contradiction 
Loneliness
Politics","16273, 16282, 16419","0","Verbal > Explaining","","Politics > Democrat | Politics > Republican","","","Character > Bookishness | Morals > Faith | Recurring Tropes > Solitary"
"""Beyond""","BE","789","789","Allison House","1137","16272, 16297","Told","1903-04-03 to 1913-08-21","Turn of the Century (1890-1913)","<p>TMT:  I'm speculating that the pony was a birthday present.</p>","","","","","","","","","","","","","""You see, I had a son.  He was the last of my name","16331","789.01","4.00","<p>Judge Allison tells Robert Ingersoll about giving his son a pony so that he would ""be manly,"" which began the boy's love affair with riding (789).</p>","Relationship:Father-Son
Animal:Pony
Italics","16273, 16281","0","Mental > Remembering | Verbal > Explaining","Typography/Orthography > Italics","Gender > Masculinity","","Familial > Father-son","Animals > Pony | Objects > Photograph"
"""Beyond""","BE","788","789","Beyond|Heaven","1136","16272, 16297","Narrated","1931-04-01 to 1931-07-31","The Depression (1930-1940)","","","","","","","","","","","","","","So the Judge sat forward, elbows on knees,","16330","788.01","17.00","<p>Judge Allison converses with the dead Robert Ingersoll.  He seems to seek some practical rather than philosophical knoweldge of the existence of God.</p>","Quest-for-Meaning, Allusion:God, Allusion:Voltaire, Allusion:Montesquieu, Allusion:Paine, Animal:Pony","16273, 16281, 16282","0","Mental > Internal argument | Mental > Remembering | Mental > Skepticism | Verbal > Conversation | Verbal > Questioning","Allusion, Biblical > God / Jehovah | Allusion, Historical > Ingersoll, Robert G. | Allusion, Literary > Montesquieu | Allusion, Literary > Paine, Thomas | Allusion, Literary > Voltaire","","","Hierarchical > Teacher-student","Death > Afterlife | Death > Imagined | Morals > Faith | Philosophical > Metaphysics"
"""Beyond""","BE","785","788","Beyond|Heaven","1136","16272, 16282","Narrated","1931-04-01 to 1931-07-31","The Depression (1930-1940)","<p>I didn't list an allusion to the author of the ""little women"" books because I didn't think we could determine with certainty that it was Edward Stratemeyer.  Feel free to add it if you think appropriate--I wasn't sure how postiive the ID needed to be.--LW</p>
<p>TMT:  Because he's a character in Beyond, however peripheral, I added ""Unnamed Man Who Wrote the Little Women Books"" to Characters and listed him in this Event.</p>","","","","","","","","","","","","","He turned on, then he stopped still.  His face","16313","785.01","16.00","<p>Judge Allison begins to understand that he has died during a conversation with Mothershed, a former acquaintance of his who died by suicide.</p>","Allusion:Literary:Voltaire
Allusion:Literary:Paine
Suicide, Death, Afterlife, Philosophy, Atheism , Gun","16273, 16297, 16283, 16544","0","Emotional > Shock | Mental > Accepting | Verbal > Conversation | Verbal > Cursing | Verbal > Giving advice | Verbal > Questioning","Allusion, Historical > Ingersoll, Robert G. | Allusion, Literary > Paine, Thomas | Allusion, Literary > Voltaire | Language > Ellipsis","Religion > Atheism","","Friendship > Adult friends","Death > Afterlife | Death > Suicide | Morals > Faith | Philosophical > Metaphysics"
"""Beyond""","BE","783","784","Beyond|Heaven","1136","16272, 16278","Narrated","1931-04-01 to 1931-07-31","The Depression (1930-1940)","","","","","","","","","","","","","","""Yes,"" the other said.  The Judge looked at him and","16310","783.02","14.00","<p>The Judge asks the young man he meets if he is ""expecting someone?"" (783).</p>","Longing, Loss","16273, 16281, 16279","0","Emotional > Anxiety | Emotional > Expecting | Verbal > Conversation | Verbal > Questioning","","","","Romantic > Engagement","Absence/Loss > Of loved one | Death > Afterlife"
"""Beyond""","BE","782","783","Allison House","1137","16272","Narrated","1931-04-01 to 1931-07-31","The Depression (1930-1940)","","","","","","","","","","","","","","Then he flung the covers back and rose from the bed","16308","782.01","12.00","<p>Judge Allison, apparently not realizing that he has died, puts on his overcoat and walks away from his home as ""the noise of Chlory's wailing died away"" (783).</p>","Death, Movement:Walking, Confusion","16275, 16276","0","Emotional > Rage | Emotional > Surprise | Movement > Walking | Physical > Dressing","","","","Hierarchical > Master-servant | Interracial > Master-servant","Objects > Flowers"
"""Beyond""","BE","781","782","Allison House","1137","16272, 16275, 16276, 16274","Narrated","1931-04-01 to 1931-07-31","The Depression (1930-1940)","<p>I chose these dates because jasmine blooms in the early spring into early summer months.  I've never seen any variety of it survive past July.</p>","","","","","","","","","","","","","The hard round ear of the stethoscope was cold","16305","781.01","11.00","<p>""Beyond"" begins with Doc Peabody listening to the final beats of Judge Allison's heart.  The Judge's dying thought is that at least he is spared ""the uproar of female connections which might have been my lot"" (781); Chlory's wailing will soon prove him wrong.  Then Allison dies, but he doesn't seem to recognize the transition.</p>","Death, Familiarity, Home, Isolation, Confusion","","0","Bodily > Dying | Verbal > Cursing | Verbal > Singing | Verbal > Yelling","Diction > Racist term","Gender > Chauvinism / Misogyny","Domestic Space > Bedroom","Hierarchical > Doctor-patient | Interracial > Master-servant","Death > Deathbed"
"The Town","T","17","17","Jefferson Power Plant","575","14043, 14029, 14000, 13999, 13994, 13993","Narrated","1912-06-01 to 1912-06-30","Turn of the Century (1890-1913)","","","","","","","","","","","","","","This was about two years after he became","16255","17.01","54.00","<p>Two years after Flem becomes superintendent, Gowan takes a night job in the power plant to improve his strength for football.  Mr. Harker keeps him awake, ""talking about Mr Snopes"" with ""a kind of amoral amazement"" (17).</p>","Cultural Issues: Sports: Football
Gossip","","0","","Allusion, Geographical > Harvard University | Allusion, Geographical > Heidelberg, Germany | Figures of Speech > Scientific | Narrative > Parentheses","Education > Law school | Entertainment > Football","Time of Day > Night","",""
"Absalom, Absalom!","AA","138","139","Coldfield House","010","15465, 15470","Told","1909-09-06","Turn of the Century (1890-1913)","","","","","","","","","","","","","","But I forgave him.  They will tell you different, but","16246","138.01","490.00","<p>Telling Quentin the way he interprets her words is ""wrong,"" Rosa offers her own angry summation of her relationship with Sutpen, and her righteous summary judgment of Sutpen himself (138).  [SOURCE: Rosa]</p>","Morality, Interpretation, Misinterpretation, Messenger, Gossip","15321, 15340, 15453, 15456, 15469, 15817, 15473","0","Moral > Forgiveness","Allusion, Literary > Macbeth | Allusion, Mythical > Demon | Figures of Speech > Shadow | Interpretation | Metafictional > Picture/image | Metafictional > Projection | Typography/Orthography > Italics","","","Romantic > Courtship","Chaos/Order > Chaos"
"Absalom, Absalom!","AA","303","303","Harvard University","289","15470, 15458","Narrated+Consciousness","1910-01-14","Turn of the Century (1890-1913)","","","","","","","","","","","","","","Now I want you to tell me just one thing more.","16224","303.01","577.00","<p>Shreve asks Quentin why he ""hates the South""; Quentin's answers, both aloud to Shreve and in his own thoughts, leave the question unresolved (303).  [SOURCE: Narrator]</p>","Identity, Ambivalence, North_vs_South, Thinking, Italics, Panting","","0","Bodily > Panting | Emotional > Ambivalence | Mental > Thinking","Figures of Speech > Negation | Typography/Orthography > Italics","Region > The South","Atmospheric > Cold | Atmospheric > Dark | Domestic Space > College dormitory","Friendship > College roommate",""
"Absalom, Absalom!","AA","302","302","Harvard University","289","15470, 15458","Narrated","1910-01-14","Turn of the Century (1890-1913)","","","","","","","","","","","","","","""So it took Charles Bon and his mother to get rid","16223","302.01","576.00","<p>Shreve facetiously reckons up the number of people who die in the Sutpen story, and offers an ambiguous racial moral about the past and a still more ambiguous racial prediction about the future.  [SOURCE: Narrator]</p>","Family, Descendants, Race, Death, Interpretation, Moralizing, Prediction","15463, 15466, 15455, 15421, 15451, 15461, 15462, 15469, 15430","0","Verbal > Moralizing | Verbal > Predicting","","Race","Domestic Space > College dormitory","Familial > Descendants | Friendship > College roommate","Death | Texts > Ledger"
"Absalom, Absalom!","AA","301","302","Jefferson Cemetery","014","15465, 15460, 15469","Told","1910-01-09","Turn of the Century (1890-1913)","","","","","","","","","","","","","","- or perhaps there is.  Surely it can harm no one to believe","16222","301.06","521.00","<p>Through Quentin's eyes we read the second half of Mr. Compson's letter about Rosa's death and funeral; the first half appears at the very beginning of Chapter 6.  Mr. Compson provides a few details about the burial, and his own moralizing on the story.  [SOURCE: Father]</p>","Funeral, Italics, Writing:Letter, Moral","","0","Emotional > Hope | Emotional > Outrage","Typography/Orthography > Italics","","","Familial > Father-son","Death > Funeral | Morals > Morality | Objects > Letter"
"Absalom, Absalom!","AA","301","301","Harvard University","289","15470, 15458","Narrated","1910-01-14","Turn of the Century (1890-1913)","","","","","","","","","","","","","","Quentin did not answer, staring at the window;","16220","301.05","575.00","<p>Quentin looks at his father's letter, and Shreve comments on ""The South,"" and the persistence of the past.    [SOURCE: Narrator]</p>","The_South, Subjective_vs_Objective, Persistence-of-the-Past, Identity","15465","0","Perceptual > Reading / Researching | Verbal > Silence","","Region > The South","Domestic Space > College dormitory | Olfactory > Cigar","","Objects > Letter | Objects > Windows | Objects > Wisteria | Past > Past in present"
"Absalom, Absalom!","AA","301","301","Jefferson Courthouse and Square","054","15421, 15465, 15473","Told","1909-12-26 to 1910-01-08","Turn of the Century (1890-1913)","","","","","","","","","","","","","","""And so it was the Aunt Rosa that came back","16219","301.01","520.00","<p>Shreve resumes the narration, describing Rosa's return from the fire in the ambulance that was intended to transport Henry.  He says ""and so she died"" after mentioning that no one could catch Jim Bond, the last survivor at the Sutpen place (301).  [SOURCE: Shreve]</p>","Trauma, Death, Howling","15470, 15458","0","Bodily > Breathing | Verbal > Howling | Verbal > Silence","Narrative > Conjectural narration | Typography/Orthography > Italics","","Atmospheric > Dark","","Death | Psychological > Trauma | Story-telling"
"Absalom, Absalom!","AA","300","301","Sutpen Plantation","017","15421, 15451, 15465, 15471, 15472","Narrated","1909-12-26 to 1909-12-27","Turn of the Century (1890-1913)","","","","","","","","","","","","","","And the deputy and the driver would spring out","16218","300.01","519.50","<p>Quentin's vision continues, and he sees the ambulance reach the house too late to save anyone from the flames.  Clytie appears at an upstairs window ""for a moment,"" while Jim Bond - ""the scion, the last of his race"" - runs away howling (300).  [SOURCE: Quentin]</p>","Fire, Destruction, Howling, Witness","15470","0","Emotional > Fury | Mental > Envisioning | Verbal > Howling","","Law > Witness","Atmospheric > Doom","Familial > Descendants","Body > Mental disability | Objects > Fire"
"Absalom, Absalom!","AA","299","301","Sutpen Plantation Gate","1106","15421, 15451, 15465, 15471, 15472","Narrated","1909-12-26 to 1909-12-27","Turn of the Century (1890-1913)","","","","","","","","","","","","","","the ambulance with Miss Coldfield between the driver","16217","299.03","519.00","<p>In a vision Quentin sees Rosa in ""the ambulance"" being driven toward Supten's mansion, when the house begins to burn and Jim Bond begins to howl (299).  [SOURCE: Quentin]</p>","Panic, Fire, Destruction, Howling, Misinterpretation","","0","Mental > Envisioning | Physical > Burning | Verbal > Howling","","","","","Objects > Fire"
"Absalom, Absalom!","AA","299","299","Sutpen Plantation","017","15421, 15451, 15465, 15461, 15471, 15472","Told","1909-12-26 to 1909-12-27","Turn of the Century (1890-1913)","","","","","","","","","","","","","","""But at last she did reconcile herself to it,","16215","299.01","518.00","<p>Shreve describes Rosa's return to Sutpen's after three months, and Clytemnestra's fear that she is coming to have Henry arrested for murder.  [SOURCE: Shreve]</p>","Return, Misinterpretation, Racism, Fear","15463","0","Emotional > Fear | Verbal > Silence","","","Auditory > Bells","","Arrivals/Departures > Return | Meaning > Misinterpretation | Story-telling"
"Absalom, Absalom!","AA","298","299","Harvard University","289","15470, 15458","Narrated","1910-01-15","Turn of the Century (1890-1913)","","","","","","","","","","","","","","It was quite cold in the room now; the chimes","16214","298.02","574.00","<p>Lying in his bed at Harvard, ""thinking 'Nevermore of peace,'"" Quentin does not answer Shreve when he asks why Rosa waited three months before going back to Sutpen's to get Henry (298).  [SOURCE: Narrator; Quentin, Shreve]</p>","Allusion:Poe, Cold, Dark, Mystery, Interpretation","15465, 15461","0","Verbal > Questioning | Verbal > Silence","Allusion, Literary > Poe, Edgar Allan","","Atmospheric > Cold | Atmospheric > Dark | Domestic Space > College dormitory","Friendship > College roommate",""
"Absalom, Absalom!","AA","298","298","Sutpen Plantation","017","15470, 15461","Remembered","1909-09-06","Turn of the Century (1890-1913)","","","","","","","","","","","","","","waking or sleeping he walked down that upper hall","16213","298.01","513.00","<p>Lying in his bed at home, Quentin remembers what he saw upstairs at Sutpen's: Henry lying in his bed, ""wasted"" with age.  In a circular pattern Quentin asks and Henry answers four short questions with 11 different words.  [SOURCE: Quentin; Narrator]</p>","Doorway, Discovery, Dying, Italics, Circularity","","0","Mental > Dreaming | Physical > Discovering | Verbal > Questioning","Typography/Orthography > Italics","","Atmospheric > Dark","","Recurring Tropes > Door"
"Absalom, Absalom!","AA","297","298","Compson Place","009","15470","Narrated","1909-09-06","Turn of the Century (1890-1913)","","","","","","","","","","","","","","His own home was dark; he was still using the whip","16212","297.02","517.00","<p>After driving home ""using the whip,"" Quentin stalls the horse and then runs into his house, where he lies in bed ""sweating"" and ""panting"" (298).  [SOURCE: Quentin; Narrator]</p>","Homecoming, Panic, Panting","","0","Bodily > Going to bed | Bodily > Panting | Bodily > Running | Bodily > Sweating | Violent > Whipping","","","Atmospheric > Dark","","Arrivals/Departures > Return home | Memory > Remembering"
"Absalom, Absalom!","AA","297","297","Coldfield House","010","15465, 15470","Narrated","1909-09-06","Turn of the Century (1890-1913)","","","","","","","","","","","","","","When he stopped the buggy at her gate she","16211","297.01","516.00","<p>Quentin drives Rosa back to her house, and helps her enter it.  As he returns to the buggy he is panting, and realizes he is ""about to begin to run"" (297).  [SOURCE: Quentin; Narrator]</p>","Homecoming, Flight, Panting","15451","0","Bodily > Panting | Movement > Buggy","Figures of Speech > Technological imagery","Clothes > Mourning","Atmospheric > Dark","","Death | Home > Homecoming | Memory > Remembering | Objects > Hatchet | Objects > Umbrella"
"Absalom, Absalom!","AA","296","297","Sutpen Plantation Gate","1106","15421, 15465, 15470","Narrated","1909-09-06","Turn of the Century (1890-1913)","","","","","","","","","","","","","","Nor did he overtake Miss Coldfield and the negro.","16210","296.02","515.00","<p>Leaving the Sutpen mansion, Quentin catches up to Rosa and Jim Bond walking down the drive.  She falls, and as Quentin hurries to help her up he hears her say to Bond ""You aint any Sutpen!"" (297).  [SOURCE: Quentin; Narrator]</p>","Darkness, Flight, Racism, Irony","","0","Bodily > Panting","","Race","Atmospheric > Dark","","Body > Mental disability"
"Absalom, Absalom!","AA","296","296","Sutpen Plantation","017","15451, 15470","Narrated","1909-09-06","Turn of the Century (1890-1913)","","","","","","","","","","","","","","So when he came back down the stairs (and he remembered","16203","296.01","514.00","<p>The narrative does not say what Quentin finds at the top of the stairs, only that when he ""comes back down"" them, Clytemnestra is sitting alone in the hall (296).  [SOURCE: Quentin; Narrator]</p>","Narrative_Gap,","","0","","Narrative > Gaps","","Domestic Space > Stairway","","Appearance > Similarity | Memory > Remembering"
"Absalom, Absalom!","AA","295","296","Sutpen Plantation","017","15451, 15470","Narrated","1909-09-06","Turn of the Century (1890-1913)","","","","","","","","","","","","","","She (Clytie) lay on the bare floor of the scaling","16202","295.01","512.00","<p>After Quentin helps her up, Clytemnestra says she ""remembers your grandpaw"" (296).  As Quentin starts to go upstairs, he notices that Jim Bond has joined Clytemnestra.  He sees Rosa returning with a ""bloodless"" look on her face (296). [SOURCE: Quentin; Narrator]</p>","Recollection, Past, Descendant, Idiocy, Mystery, Reaction,","15421, 15465, 15464","0","Emotional > Terror","","","Domestic Space > Stairway","Familial > Descendants","Body > Mental disability | Meaning > Mystery | Memory > Remembering"
"Absalom, Absalom!","AA","294","295","Sutpen Plantation","017","15451, 15465, 15470","Narrated","1909-09-06","Turn of the Century (1890-1913)","","","","","","","","","","","","","","'so now I shall have to go in,' he thought,","16199","294.01","511.00","<p>Quentin enters the house through an empty window.  As he opens the door to admit Rosa, he discovers Clytemnestra behind him; she asks him (""young marster"") and ""Rosie"" not to go upstairs (295).  Rosa knocks her down with ""a full-armed blow like a man,"" and goes ""up the stairs"" (295).  [SOURCE: Quentin; Narrator]</p>","Haunted_House, Doorway, Light, Violence:Punch","","0","Bodily > Breathing | Violent > Hitting","Genre Conventions > Gothic","Crime > Breaking and entering | Gender > Masculine woman | Race > Miscegenation","Atmospheric > Dark | Domestic Space > Stairway","","Body > Skin | Objects > Keys | Objects > Matchstick | Objects > Windows | Recurring Tropes > Door | Supernatural > Haunted house"
"Absalom, Absalom!","AA","293","294","Sutpen Plantation","017","15465, 15470","Narrated","1909-09-06","Turn of the Century (1890-1913)","","","","","","","","","","","","","","But they reached it at last.  It loomed, bulked,","16198","293.01","508.70","<p>Quentin and Rosa reach the house, and she insists he find a way in.  [SOURCE: Quentin; Narrator]</p>","Gothic, Doorway, Impatience","","0","Emotional > Impatience","Genre Conventions > Gothic | Metafictional > Painting","","Olfactory > Decay | Place > Decayed plantation","","Death | Memory > Remembering | Objects > Hatchet | Objects > Windows | Recurring Tropes > Door | Supernatural > Haunted house"
"Absalom, Absalom!","AA","291","293","Sutpen Plantation Gate","1106","15465, 15470","Remembered","1909-09-06","Turn of the Century (1890-1913)","","","","","","","","","","","","","","She (Miss Coldfield) did not let him enter the gate.","16197","291.03","508.60","<p>Quentin remembers that Rosa made him stop the buggy at the gate, where Henry shot Bon, and walk up to the house.  He compares the length of the drive now to the time he walked it ""as a child"" (293).  Sure that Clytemnestra is watching them, Rosa says they have to ""get inside the house"" (293).  [SOURCE: Quentin; Narrator]</p>","Gate, Past-in-Present, Haunted_House, Secret, Impatience, Fear, Childhood_vs_Adulthood","15463, 15421, 15451, 15461","0","Bodily > Panting | Emotional > Fear | Emotional > Impatience","Figures of Speech > Shadow | Genre Conventions > Gothic","","Atmospheric > Dark | Domestic Space > Gate | Olfactory > Decay","","Objects > Hatchet | Objects > Umbrella | Past > Past in present | Recurring Tropes > Secret | Supernatural > Haunted house | Time > Simultaneity of time"
"Absalom, Absalom!","AA","291","291","Harvard University","289","15470","Narrated","1910-01-14","Turn of the Century (1890-1913)","","","","","","","","","","","","","","Now Quentin began to breathe hard again, who had","16196","291.02","573.00","<p>Lying in his ""warm bed"" at Harvard, Quentin again begins to pant (291).  [SOURCE: Narrator]</p>","North_vs_South, Distress, Panting","","0","Bodily > Breathing | Bodily > Panting","","Cultural Identity > North vs South","Atmospheric > Dark | Domestic Space > College dormitory","",""
