"SourceTextTitle","SourceTextCode","PageNumber","PageEventEnds","Location","LocationCode","CharactersPresent","NarrativeStatus","Date","Era","Body","characters_introduced","eventname","fade","importance","lab","mark","n","Remembered","s","style","x","y","First 8-10 words of event","Nid","OrderWithinPage","Chronological Order","Summary","Keywords","CharactersMentioned","Indeterminate Date Range","kw_actions","kw_aesthetics","kw_cultural_issues","kw_environment","kw_relationships","kw_themes_and_motifs"
"Absalom, Absalom!","AA","30","31","Sutpen Plantation","017","15464, 15469, 15473, 15326","Narrated","1836-01-01 to 1838-12-31","Antebellum (1831-1860)","","","","","","","","","","","","","","It was at this time that he began to invite","24553","30.01","83.50","<p>""For three years"" Sutpen lives on his plantation, unfinished but with ""slave quarters and stables and smokehouses"" and with cotton grown from seed provided by General Compson (29).  He invites ""parties of men"" who hunt and drink in a very ""masculine"" existence (30).  [SOURCE: Narrator; Rosa, Grandfather, Town]</p>","","15465, 15470","0","Agricultural > Planting | Agricultural > Plowing | Bodily > Drinking | Bodily > Sitting | Domestic > Camping | Economic > Borrowing | Economic > Lending Money | Hunting > Deer hunting | Mental > Calculation | Mental > Speculation | Physical > Building | Physical > Clearing land | Physical > Wrestling | Play > Card playing | Play > Gambling","Figures of Speech > Metaphor | Narrative > Foreshadowing | Narrative > Withholding","Agriculture > Cotton | Alcohol > Whiskey | Class > Respectability | Economy > Dowry | Gender > All-male space | Gender > Marriage | Gender > Women | Slavery > Ownership | Slavery > Violence | Violence > Interracial","Domestic Space > Empty room | Domestic Space > Garden | Domestic Space > Home | Domestic Space > House | Domestic Space > Plantation house | Natural > Swamp | Place > Plantation","Friendship > Adult friends | Hierarchical > Master-slave | Intergenerational > Hunting party","Community > Opinion | Home > Improvements | Past > Unknown/concealed past | Recurring Tropes > Secret | Recurring Tropes > Upward mobility | Time > Duration of time | Time > Frozen / Static | Values > Decorum"
"Absalom, Absalom!","AA","7","7","Compson Place","009","","Narrated","1890-09-01 to 1909-09-30","Turn of the Century (1890-1913)","","","","","","","","","","","","","","Quentin had grown up with that; the mere names","24552","7.03","463.50","<p>As a child of the South, Quentin's ""very body"" is a ""barracks"" filled with the ghosts - dead and still living - that the defeat of the Confederacy during the Civil War created (7).  [SOURCE: Narrator]</p>","","","0","Mental > Misunderstanding | Mental > Remembering | Mental > Unaware | Perceptual > Hearing | Perceptual > Looking back","Figures of Speech > Ghost | Figures of Speech > Medical / Surgical | Figures of Speech > Metaphor | Figures of Speech > Military terminology | Figures of Speech > Personification | Narrative > Background | Narrative > Commentary | Tone > Elegiac","Cultural Identity > Lost Cause | Cultural Identity > Southern identity | Education > Informal | Group Mentality > Community collective | History > Civil War consequences | Region > Lost Cause | Region > The South | War > Defeat","Atmospheric > Familiar | Atmospheric > Haunted | Auditory > Echoing","Social > Isolation","Character > Impotence | Community > Alienation | Determinism > Lack of choice | Futility > Inability | Memory > Collective memory | Memory > Haunted by past | Naming > Importance of naming | Past > Past in present | Recurring Tropes > Echo | Recurring Tropes > Paradox | Supernatural > Ghost | Time > Long passage of time"
"Absalom, Absalom!","AA","7","7","Jefferson Courthouse and Square","054","15456, 15461, 15462, 15469","Narrated","1833-06-01 to 1909-09-30","Antebellum (1831-1860)","","","","","","","","","","","","","","a part of the town's - Jefferson's - eighty years' heritage","24551","7.02","42.10","<p>The way Sutpen arrived in Jefferson as a complete stranger, created his plantation ""apparently out of nothing,"" married and had children whose lives were defined by a mysterious killing - this story was still part of the town's ""heritage"" 80 years later (7).</p>","","15465","0","Bodily > Breathing | Economic > Purchase | Legal > Marriage | Movement > Riding | Work > Building structure","Allusion, Biblical > Genesis | Figures of Speech > Breath | Narrative > Background | Narrative > Foreshadowing | Narrative > Origin | Narrative > Parentheses | Narrative > Summary","Economy > Property | Gender > And marriage | Gender > Widow | Group Mentality > Communal story | Identity, Cultural > Heritage | Law > Legal ownership | Law > Property | Ritual > Wedding | Violence > Retribution","Atmospheric > Familiar | Domestic Space > House | Place > Jefferson | Time of Day > Afternoon | Time of Day > Morning | Time of Day > Sunday | Time of Day > Sunday morning | Time of Year > June | Time of Year > September","Familial > Conflict | Familial > Father-daughter | Familial > Father-son | Familial > Parents-children | Marital > Husband-wife","Arrivals/Departures > Arrival | Arrivals/Departures > Arrival in Yoknapatawpha | Community > Local legends | Death > Future | Death > Spousal | Determinism > Fated | Home > New home | Meaning > Mystery | Meaning > Paternity | Memory > Collective memory | Past > Past in present | Past > Unknown/concealed past | Story-telling > Communal mythology | Time > Duration of time | Time > Long passage of time | Time > Past | Values > Justice"
"Absalom, Absalom!","AA","6","7","Sutpen Plantation","017","15463, 15461, 15462","Narrated","1865-05-03","Civil War (1861-1865)","","","","","","","","","","","","","","and the nephew who served for four years","24550","6.04","358.20","<p>Without naming them, the narrative mentions how Rosa's ""nephew"" served with ""his sister's fiance"" throughout the Civil War, before killing him ""on the eve of the wedding"" and vanishing (6-7).  [SOURCE: Narrator]</p>","","","0","Emotional > Waiting | Interaction, Private > Breaking marriage engagement | Military > Service | Movement > Flight | Movement > Running away | Perceptual > Passing from sight | Violent > Homicide | Violent > Killing | Violent > Murder | Violent > Shooting","Recurring Episodes > Henry kills Bon","Clothes > Wedding dress | Crime > Murder | Gender > And marriage | Gender > Women | Ritual > Wedding | Violence > Interracial | Violence > Shooting | War > Civil War","Domestic Space > House | Place > Gate | Place > Houses","Familial > Aunt-nephew | Familial > Sibling | Romantic > Engagement | Romantic > Fiance | Social > Assailant-victim","Absence/Loss > Disappearance | Absence/Loss > Of loved one | Arrivals/Departures > Departure | Arrivals/Departures > Run away | Death | Recurring Tropes > Threshold | Recurring Tropes > Vanishing"
"Absalom, Absalom!","AA","151","151","Northwest Road|Jefferson to Memphis","496","15469","Narrated+Consciousness","1848-01-01 to 1848-12-31","Antebellum (1831-1860)","","","","","","","","","","","","","","who used to like to drive fast to church","24545","151.03","123.10","<p>The narrative briefly refers back to Sutpen's behavior before the War, when he raced his carriage to church on Sundays.  [SOURCE: Quentin-Shreve]</p>","","","0","Movement > Carriage","","","","",""
"Absalom, Absalom!","AA","149","149","Sutpen's Store","100","15453, 15469","Narrated+Consciousness","1868-01-01 to 1869-03-31","Reconstruction (1866-1889)","","","","","","","","","","","","","","who now entered the house itself on the","24544","149.05","405.00","<p>The narrative describes how Wash Jones gained access to Sutpen's plantation after the War, on the days when he and Sutpen drank together.  [SOURCE: Quentin-Shreve]</p>","","15390, 15388, 15667","0","Economic > Store owner | Verbal > Command","","Economy > Poverty","","",""
"Absalom, Absalom!","AA","149","149","Sutpen Plantation","017","15451, 15453","Narrated+Consciousness","1861-06-01 to 1865-12-31","Civil War (1861-1865)","","","","","","","","","","","","","","who during the next four years got no nearer","24543","149.04","308.10","<p>The narrative notes that, although it was Wash who provided the food that kept Sutpen's family alive during the Civil War, Clytemnestra consistently forbade him to enter the mansion even by the kitchen door.  [SOURCE: Quentin-Shreve]</p>","","15456, 15462, 15469","0","Domestic > Housekeeping","","Class > Class consciousness | Slavery > Loyalty | Slavery > Self-emancipation","Domestic Space > Kitchen","","Recurring Tropes > Door"
"Absalom, Absalom!","AA","149","149","Sutpen's Store","100","15340, 15453, 15462, 15469, 15388","Narrated+Consciousness","1867-01-01 to 1869-08-10","Reconstruction (1866-1889)","","","","","","","","","","","","","","Jones, partner porter and clerk who at the demon's command","24542","149.02","408.30","<p>The narrative describes the way Wash Jones and Judith Sutpen were both involved in Sutpen's seduction of Milly Jones.  [SOURCE: Quentin-Shreve]</p>","","","0","Emotional > Embarrassment","","Gender > Male gaze | Sexuality > Pregnant out of wedlock","","Romantic > Courtship",""
"Absalom, Absalom!","AA","148","149","Sutpen Plantation","017","15451, 15465, 15340, 15453, 15462, 15469, 15388, 24528, 24530","Narrated+Consciousness","1866-01-01 to 1869-08-11","Reconstruction (1866-1889)","","","","","","","","","","","","","","the three of them, the two daughters negro and white","24541","148.08","386.10","<p>The narrative returns to Sutpen's struggle after the War to hold on to his design, by opening a store and ""seducing"" a ""fifteen-year-old country girl"" - Jones' granddaughter (149).  [SOURCE: Quentin-Shreve]</p>","","","0","Economic > Store owner","Allusion, Literary > Faustus","Sexuality > Adult-adolescent","","Familial > Father-daughter | Familial > Interracial","Absence/Loss > Attempt to find substitute"
"Absalom, Absalom!","AA","148","148","Coldfield House","010","15465","Narrated+Consciousness","1866-06-02 to 1868-12-31","Reconstruction (1866-1889)","","","","","","","","","","","","","","wore still after the aunt's indignation had swept","24540","148.07","399.30","<p>The narrative jumps to a brief account of how Rosa fled ""back to town"" and lived on food provided by her neighbors and their gardens (148).  [SOURCE: Quentin-Shreve]</p>","","","0","Interaction, Social > Charity | Movement > Running away","","Crime > Theft|Robbery","","",""
