"TextCode","DisplayName","SortName","About"
"LA","Theresa M. Towner","Towner, Theresa M.","<p>Theresa M. Towner is Ashbel Smith Professor of Literary Studies at the University of Texas at Dallas and the Co-Director of Digital Yoknapatawpha. Her books on Faulkner include <em>Faulkner on the Color Line: The Later Novels</em>, <em>Reading Faulkner: Collected Stories</em> (with James B. Carothers), and <em>The Cambridge Introduction to William Faulkner</em>. She has also edited the Library of America volume of Faulkner's short stories as well as <em>Digitizing Faulkner: Yoknapatawpha in the Twenty-First Century</em>, a collection of essays by collaborating editors of DY.</p>
"
"AA","Theresa M. Towner","Towner, Theresa M.","<p>Theresa M. Towner is Ashbel Smith Professor of Literary Studies at the University of Texas at Dallas and the Co-Director of Digital Yoknapatawpha. Her books on Faulkner include <em>Faulkner on the Color Line: The Later Novels</em>, <em>Reading Faulkner: Collected Stories</em> (with James B. Carothers), and <em>The Cambridge Introduction to William Faulkner</em>. She has also edited the Library of America volume of Faulkner's short stories as well as <em>Digitizing Faulkner: Yoknapatawpha in the Twenty-First Century</em>, a collection of essays by collaborating editors of DY.</p>
"
"GDM","Theresa M. Towner","Towner, Theresa M.","<p>Theresa M. Towner is Ashbel Smith Professor of Literary Studies at the University of Texas at Dallas and the Co-Director of Digital Yoknapatawpha. Her books on Faulkner include <em>Faulkner on the Color Line: The Later Novels</em>, <em>Reading Faulkner: Collected Stories</em> (with James B. Carothers), and <em>The Cambridge Introduction to William Faulkner</em>. She has also edited the Library of America volume of Faulkner's short stories as well as <em>Digitizing Faulkner: Yoknapatawpha in the Twenty-First Century</em>, a collection of essays by collaborating editors of DY.</p>
"
"T","Theresa M. Towner","Towner, Theresa M.","<p>Theresa M. Towner is Ashbel Smith Professor of Literary Studies at the University of Texas at Dallas and the Co-Director of Digital Yoknapatawpha. Her books on Faulkner include <em>Faulkner on the Color Line: The Later Novels</em>, <em>Reading Faulkner: Collected Stories</em> (with James B. Carothers), and <em>The Cambridge Introduction to William Faulkner</em>. She has also edited the Library of America volume of Faulkner's short stories as well as <em>Digitizing Faulkner: Yoknapatawpha in the Twenty-First Century</em>, a collection of essays by collaborating editors of DY.</p>
"
"ADP","Theresa M. Towner","Towner, Theresa M.","<p>Theresa M. Towner is Ashbel Smith Professor of Literary Studies at the University of Texas at Dallas and the Co-Director of Digital Yoknapatawpha. Her books on Faulkner include <em>Faulkner on the Color Line: The Later Novels</em>, <em>Reading Faulkner: Collected Stories</em> (with James B. Carothers), and <em>The Cambridge Introduction to William Faulkner</em>. She has also edited the Library of America volume of Faulkner's short stories as well as <em>Digitizing Faulkner: Yoknapatawpha in the Twenty-First Century</em>, a collection of essays by collaborating editors of DY.</p>
"
"CB","Theresa M. Towner","Towner, Theresa M.","<p>Theresa M. Towner is Ashbel Smith Professor of Literary Studies at the University of Texas at Dallas and the Co-Director of Digital Yoknapatawpha. Her books on Faulkner include <em>Faulkner on the Color Line: The Later Novels</em>, <em>Reading Faulkner: Collected Stories</em> (with James B. Carothers), and <em>The Cambridge Introduction to William Faulkner</em>. She has also edited the Library of America volume of Faulkner's short stories as well as <em>Digitizing Faulkner: Yoknapatawpha in the Twenty-First Century</em>, a collection of essays by collaborating editors of DY.</p>
"
"SL","Theresa M. Towner","Towner, Theresa M.","<p>Theresa M. Towner is Ashbel Smith Professor of Literary Studies at the University of Texas at Dallas and the Co-Director of Digital Yoknapatawpha. Her books on Faulkner include <em>Faulkner on the Color Line: The Later Novels</em>, <em>Reading Faulkner: Collected Stories</em> (with James B. Carothers), and <em>The Cambridge Introduction to William Faulkner</em>. She has also edited the Library of America volume of Faulkner's short stories as well as <em>Digitizing Faulkner: Yoknapatawpha in the Twenty-First Century</em>, a collection of essays by collaborating editors of DY.</p>
"
"BE","Theresa M. Towner","Towner, Theresa M.","<p>Theresa M. Towner is Ashbel Smith Professor of Literary Studies at the University of Texas at Dallas and the Co-Director of Digital Yoknapatawpha. Her books on Faulkner include <em>Faulkner on the Color Line: The Later Novels</em>, <em>Reading Faulkner: Collected Stories</em> (with James B. Carothers), and <em>The Cambridge Introduction to William Faulkner</em>. She has also edited the Library of America volume of Faulkner's short stories as well as <em>Digitizing Faulkner: Yoknapatawpha in the Twenty-First Century</em>, a collection of essays by collaborating editors of DY.</p>
"
"POL","Theresa M. Towner","Towner, Theresa M.","<p>Theresa M. Towner is Ashbel Smith Professor of Literary Studies at the University of Texas at Dallas and the Co-Director of Digital Yoknapatawpha. Her books on Faulkner include <em>Faulkner on the Color Line: The Later Novels</em>, <em>Reading Faulkner: Collected Stories</em> (with James B. Carothers), and <em>The Cambridge Introduction to William Faulkner</em>. She has also edited the Library of America volume of Faulkner's short stories as well as <em>Digitizing Faulkner: Yoknapatawpha in the Twenty-First Century</em>, a collection of essays by collaborating editors of DY.</p>
"
"GOL","Theresa M. Towner","Towner, Theresa M.","<p>Theresa M. Towner is Ashbel Smith Professor of Literary Studies at the University of Texas at Dallas and the Co-Director of Digital Yoknapatawpha. Her books on Faulkner include <em>Faulkner on the Color Line: The Later Novels</em>, <em>Reading Faulkner: Collected Stories</em> (with James B. Carothers), and <em>The Cambridge Introduction to William Faulkner</em>. She has also edited the Library of America volume of Faulkner's short stories as well as <em>Digitizing Faulkner: Yoknapatawpha in the Twenty-First Century</em>, a collection of essays by collaborating editors of DY.</p>
"
