"TextCode","DisplayName","SortName","About"
"LJC","Stephen Railton","Railton, Stephen","<p>Stephen Railton, Emeritus Professor of English at the University of Virginia, is the creator of Digital Yoknapatawpha, and directed the project from 2011-2023. Since the mid-1990s most of his time has been spent in virtual reality, exploring how electronic technology can help scholars, teachers and students appreciate the story of American literature and culture in new ways. Among the other major online resources, he has created are Mark Twain in His Times, Uncle Tom's Cabin & American Culture, and Faulkner at Virginia. In addition to the Yoknapatawpha fictions he has helped edit, he is the author of most of the ancillary materials and exhibits in DY – Manuscripts Etc., Audio Clips, Genealogies and so on.</p>
"
"MGM","Stephen Railton","Railton, Stephen","<p>Stephen Railton, Emeritus Professor of English at the University of Virginia, is the creator of Digital Yoknapatawpha, and directed the project from 2011-2023. Since the mid-1990s most of his time has been spent in virtual reality, exploring how electronic technology can help scholars, teachers and students appreciate the story of American literature and culture in new ways. Among the other major online resources, he has created are Mark Twain in His Times, Uncle Tom's Cabin & American Culture, and Faulkner at Virginia. In addition to the Yoknapatawpha fictions he has helped edit, he is the author of most of the ancillary materials and exhibits in DY – Manuscripts Etc., Audio Clips, Genealogies and so on.</p>
"
"SH","Stephen Railton","Railton, Stephen","<p>Stephen Railton, Emeritus Professor of English at the University of Virginia, is the creator of Digital Yoknapatawpha, and directed the project from 2011-2023. Since the mid-1990s most of his time has been spent in virtual reality, exploring how electronic technology can help scholars, teachers and students appreciate the story of American literature and culture in new ways. Among the other major online resources, he has created are Mark Twain in His Times, Uncle Tom's Cabin & American Culture, and Faulkner at Virginia. In addition to the Yoknapatawpha fictions he has helped edit, he is the author of most of the ancillary materials and exhibits in DY – Manuscripts Etc., Audio Clips, Genealogies and so on.</p>
"
"SNP","Stephen Railton","Railton, Stephen","<p>Stephen Railton, Emeritus Professor of English at the University of Virginia, is the creator of Digital Yoknapatawpha, and directed the project from 2011-2023. Since the mid-1990s most of his time has been spent in virtual reality, exploring how electronic technology can help scholars, teachers and students appreciate the story of American literature and culture in new ways. Among the other major online resources, he has created are Mark Twain in His Times, Uncle Tom's Cabin & American Culture, and Faulkner at Virginia. In addition to the Yoknapatawpha fictions he has helped edit, he is the author of most of the ancillary materials and exhibits in DY – Manuscripts Etc., Audio Clips, Genealogies and so on.</p>
"
"TM","Stephen Railton","Railton, Stephen","<p>Stephen Railton, Emeritus Professor of English at the University of Virginia, is the creator of Digital Yoknapatawpha, and directed the project from 2011-2023. Since the mid-1990s most of his time has been spent in virtual reality, exploring how electronic technology can help scholars, teachers and students appreciate the story of American literature and culture in new ways. Among the other major online resources, he has created are Mark Twain in His Times, Uncle Tom's Cabin & American Culture, and Faulkner at Virginia. In addition to the Yoknapatawpha fictions he has helped edit, he is the author of most of the ancillary materials and exhibits in DY – Manuscripts Etc., Audio Clips, Genealogies and so on.</p>
"
"TWQ","Stephen Railton","Railton, Stephen","<p>Stephen Railton, Emeritus Professor of English at the University of Virginia, is the creator of Digital Yoknapatawpha, and directed the project from 2011-2023. Since the mid-1990s most of his time has been spent in virtual reality, exploring how electronic technology can help scholars, teachers and students appreciate the story of American literature and culture in new ways. Among the other major online resources, he has created are Mark Twain in His Times, Uncle Tom's Cabin & American Culture, and Faulkner at Virginia. In addition to the Yoknapatawpha fictions he has helped edit, he is the author of most of the ancillary materials and exhibits in DY – Manuscripts Etc., Audio Clips, Genealogies and so on.</p>
"
"TH","Stephen Railton","Railton, Stephen","<p>Stephen Railton, Emeritus Professor of English at the University of Virginia, is the creator of Digital Yoknapatawpha, and directed the project from 2011-2023. Since the mid-1990s most of his time has been spent in virtual reality, exploring how electronic technology can help scholars, teachers and students appreciate the story of American literature and culture in new ways. Among the other major online resources, he has created are Mark Twain in His Times, Uncle Tom's Cabin & American Culture, and Faulkner at Virginia. In addition to the Yoknapatawpha fictions he has helped edit, he is the author of most of the ancillary materials and exhibits in DY – Manuscripts Etc., Audio Clips, Genealogies and so on.</p>
"
"FAH","Stephen Railton","Railton, Stephen","<p>Stephen Railton, Emeritus Professor of English at the University of Virginia, is the creator of Digital Yoknapatawpha, and directed the project from 2011-2023. Since the mid-1990s most of his time has been spent in virtual reality, exploring how electronic technology can help scholars, teachers and students appreciate the story of American literature and culture in new ways. Among the other major online resources, he has created are Mark Twain in His Times, Uncle Tom's Cabin & American Culture, and Faulkner at Virginia. In addition to the Yoknapatawpha fictions he has helped edit, he is the author of most of the ancillary materials and exhibits in DY – Manuscripts Etc., Audio Clips, Genealogies and so on.</p>
"
"BP","Stephen Railton","Railton, Stephen","<p>Stephen Railton, Emeritus Professor of English at the University of Virginia, is the creator of Digital Yoknapatawpha, and directed the project from 2011-2023. Since the mid-1990s most of his time has been spent in virtual reality, exploring how electronic technology can help scholars, teachers and students appreciate the story of American literature and culture in new ways. Among the other major online resources, he has created are Mark Twain in His Times, Uncle Tom's Cabin & American Culture, and Faulkner at Virginia. In addition to the Yoknapatawpha fictions he has helped edit, he is the author of most of the ancillary materials and exhibits in DY – Manuscripts Etc., Audio Clips, Genealogies and so on.</p>
"
"HR","Stephen Railton","Railton, Stephen","<p>Stephen Railton, Emeritus Professor of English at the University of Virginia, is the creator of Digital Yoknapatawpha, and directed the project from 2011-2023. Since the mid-1990s most of his time has been spent in virtual reality, exploring how electronic technology can help scholars, teachers and students appreciate the story of American literature and culture in new ways. Among the other major online resources, he has created are Mark Twain in His Times, Uncle Tom's Cabin & American Culture, and Faulkner at Virginia. In addition to the Yoknapatawpha fictions he has helped edit, he is the author of most of the ancillary materials and exhibits in DY – Manuscripts Etc., Audio Clips, Genealogies and so on.</p>
"
